block_uuid,block_name,block_norm,district_name,district_norm,vintage,centroid_lon,centroid_lat
b486c2f8-fe7b-4fe3-98ad-0d3f1f65d532,KHANDAR,KHANDAR,SAWAI MADHOPUR,SAWAI MADHOPUR,2019,76.5813214131216,25.98294575801887
5e4b0fdb-2ace-419f-8e6f-067c71c98fd4,NAGAR,NAGAR,BHARATPUR,BHARATPUR,2021,77.07248099981307,27.49334886419552
f8a9f2cf-caa2-4ec5-ad49-83be51271798,BAPINI,BAPINI,JODHPUR,JODHPUR,2021,72.93263561305628,27.058615334113078
48c15ccc-0f27-4ba1-a39f-f6fd27656e04,BALESAR,BALESAR,JODHPUR,JODHPUR,2019,72.60720180529796,26.407436403012646
8357aba1-9a24-4262-96fa-6ccd528b1345,PAHARI,PAHARI,BHARATPUR,BHARATPUR,2021,77.10306861069796,27.69881499701859
daf186fa-81c3-4224-bb38-d63299fef046,TIBI,TIBI,HANUMANGARH,HANUMANGARH,2021,74.51286901943517,29.539765009823004
63ec2a56-4bda-4db0-83d3-7a52cc69ba1c,ARAIN,ARAIN,AJMER,AJMER,2019,75.0433832805891,26.34872765800971
1177dfe1-d132-4bfe-ba49-0f43f3e7c4c7,JHALARA,JHALARA,UDAIPUR,UDAIPUR,2019,74.14171460616285,24.064310820648938
68accd4b-c1e1-41d1-a9af-bde01f13a5ec,PIRAWA,PIRAWA,JHALAWAR,JHALAWAR,2019,76.02912235617528,24.25492203060203
a02bbf48-1670-4d99-977d-c8d6017bea18,PHALASIYA,PHALASIYA,UDAIPUR,UDAIPUR,2021,73.35838223867736,24.213922269104554
fa1164f8-3221-4e70-9c69-25176f332f8d,KESHORAI PATAN,KESHORAI PATAN,BUNDI,BUNDI,2021,76.10021706653346,25.521349627036585
fea9b610-51ca-4cf4-94b8-ab7000b3bb70,NAINWA,NAINWA,BUNDI,BUNDI,2021,75.93844086308565,25.705331494985874
a2efa418-1cb7-4455-94a7-8b7f01742897,AKLERA,AKLERA,JHALAWAR,JHALAWAR,2019,76.51644553051369,24.331826765083377
102f2ca7-7d0f-4d68-8da5-26e9b7b4d813,RATANGARH,RATANGARH,CHURU,CHURU,2019,74.56280462174833,28.075118080149142
c9950d55-4976-450a-ad5e-48d9e79365f3,KEKRI,KEKRI,AJMER,AJMER,2019,75.19384454881236,25.89175319298539
21f999ae-c557-4829-a685-549caebd3ebd,SABLA,SABLA,DUNGARPUR,DUNGARPUR,2021,74.20526173487555,23.87932260747295
9b64d8eb-c321-46bb-83d1-373e5abba4b2,ALSISAR,ALSISAR,JHUNJHUNUN,JHUNJHUNU,2019,75.24263602292577,28.26344586050183
12ba995a-3a74-4a5b-ade7-44ebf30e636c,SAWAI MADHOPUR,SAWAI MADHOPUR,SAWAI MADHOPUR,SAWAI MADHOPUR,2021,76.38634903945224,26.08083502468645
a10e5443-0248-4ba7-a1c6-6e3bbbd60373,DUDU,DUDU,JAIPUR,JAIPUR,2021,75.23318742419951,26.747739362531277
edca51b2-6f3c-4992-8e35-12300ed97c33,CHHABRA,CHHABRA,BARAN,BARAN,2021,76.9074120267358,24.64470422709208
dd1388dd-57d6-4ac2-960c-f7b5d7d016e1,SUMERPUR,SUMERPUR,PALI,PALI,2021,73.10581800360184,25.310126023544477
428a1443-e420-4c94-b0c7-7b67910ac412,BEHROR,BEHROR,ALWAR,ALWAR,2019,76.27726960314001,27.911371260075807
